"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,initial_presentation_and_diagnosispreprocedure,,text,"Record ID",,,,,,,,,,,,,
age,initial_presentation_and_diagnosispreprocedure,,text,Age,,,,,,,,y,,,,,
race,initial_presentation_and_diagnosispreprocedure,,checkbox,Race,"1, American Indian or Alaskan Native, | 2, Asian or Pacific Islander | 3, Black | 4, White | 5, Hispanic Origin",,,,,,,,,,,,
insurance_type,initial_presentation_and_diagnosispreprocedure,,notes,"Insurance Type",,,,,,,,,,,,,
weight_in_kg,initial_presentation_and_diagnosispreprocedure,,text,"Weight in Kg",,,number,,,,,,,,,,
sex,initial_presentation_and_diagnosispreprocedure,,radio,Sex,"1, Male | 2, Female | 3, Other",,,,,,,,,,,,
medical_co_morbidities,initial_presentation_and_diagnosispreprocedure,,checkbox,"Medical Comorbidities","1, Hyperlipidemia (Elevated LDL or use of Statins) | 2, Diabetes (Elevated HBA1C or on Diabetic medication) | 3, Hypertension (elevated BP during admission or on anti hypertensives | 4, Previous Stroke | 5, CAD | 6, Heart Failure | 7, Atrial Fibrilation | 8, Smoker | 9, Drug Abuse | 11, Obesity (BMI >= 30) | 10, Other | 12, None",,,,,,,y,,,,,
other_co_morbidity,initial_presentation_and_diagnosispreprocedure,,text,"State Other",,,,,,,"[medical_co_morbidities(10)] = '1'",,,,,,
antiplatelet_anticoagulant,initial_presentation_and_diagnosispreprocedure,,checkbox,"Home Medication(s)","1, Aspirin | 2, Clopidogrel | 3, Ticagrelor | 4, Warfarin | 5, Apixaban | 6, Rivaroxaban | 7, Other anticoagulant or antiplatelet",,,,,,,,,,,,
other_co_antiplatelet,initial_presentation_and_diagnosispreprocedure,,text,"State Other",,,,,,,"[antiplatelet_anticoagulant(7)] = '1'",,,,,,
initial_diagnosis,initial_presentation_and_diagnosispreprocedure,,checkbox,"Initial Diagnosis","1, Ischemic stroke | 2, Hemorrhagic stroke | 3, Venous sinus thrombosis | 4, Aneurysm (Unruptured) | 5, Aneurysm (Ruptured) | 6, Arteriovenous malformation | 7, Malignancy | 8, Subdural Hematoma | 9, Vasculitis | 10, Transient ischemic attack | 11, Dissection | 12, SAH (No aneurysm found on initial scan) | 13, Carotid stenosis | 14, Spinal infarction | 15, dural AV fistula | 16, Central Retinal Artery Occlusion | 17, Idiopathic Intracranial Hypertension | 18, Venous Stenosis | 19, CCF Fistula | 20, Vessel Occlusion | 21, Vessel Injury/Trauma",,,,,,,,,,,,
family_hx_of_aneurysm,initial_presentation_and_diagnosispreprocedure,,yesno,"Family Hx of Aneurysm",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1'",,,,,,
family_hx_of_aneurysm_rupture,initial_presentation_and_diagnosispreprocedure,,yesno,"Family Hx of Aneurysm Rupture",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1'",,,,,,
procedure_type,initial_presentation_and_diagnosispreprocedure,,checkbox,"Type of Procedure","1, DSA | 2, Mechanical Thrombectomy | 3, Carotid Stent | 4, Intracranial Stent | 5, Aneurysm Coiling | 6, Medication Delivery (Verapamil, IA Chemo, etc.) | 7, Venometry | 8, Balloon Occlusion Testing | 9, No invasive procedure performed | 10, Other",,,,,,,,,,,,
emergent_procedure,initial_presentation_and_diagnosispreprocedure,,yesno,"Emergent Procedure?",,,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",,,,,,
date_of_procedure,initial_presentation_and_diagnosispreprocedure,,text,"Date of procedure",,,date_mdy,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1' or [other_procedure] = ''",,,,,,
other_procedure,initial_presentation_and_diagnosispreprocedure,,text,"Name of other procedure",,,,,,,"[procedure_type(10)] = '1'",,,,,,
lnw,initial_presentation_and_diagnosispreprocedure,,text,"Last known well",,,datetime_mdy,,,,"[initial_diagnosis(1)] = '1'",,,,,,
last_known_well_unknown,initial_presentation_and_diagnosispreprocedure,,yesno,"Last Known Well unknown?",,,,,,,"[initial_diagnosis(1)] = '1'",,,,,,
inpatient_or_outpatient,initial_presentation_and_diagnosispreprocedure,,radio,"Inpatient or Outpatient","1, Inpatient | 2, Outpatient",,,,,,,,,,,,
arrivaltime,initial_presentation_and_diagnosispreprocedure,,text,"Arrival Time",,,datetime_mdy,,,,"[initial_diagnosis(1)] = '1' and [inpatient_or_outpatient] = '2'",,,,,,
cth_time,initial_presentation_and_diagnosispreprocedure,,text,"CTH Time",,,datetime_mdy,,,,"[initial_diagnosis(1)] = '1'",,,,,,
angiotime,initial_presentation_and_diagnosispreprocedure,,text,"AngioSuite TIme",,,datetime_mdy,,,,"[initial_diagnosis(1)] = '1'",,,,,,
wake_up_stroke,initial_presentation_and_diagnosispreprocedure,,yesno,"Wake up stroke",,,,,,,"[initial_diagnosis(1)] = '1'",,,,,,
aspect,initial_presentation_and_diagnosispreprocedure,,text,"ASPECT Score",,,number,0,10,,"[initial_diagnosis(1)] = '1'",,,,,,
ctp,initial_presentation_and_diagnosispreprocedure,,yesno,"CT Perfusion completed prior to procedure",,,,,,,"[initial_diagnosis(1)] = '1'",,,,,,
ctp_quality,initial_presentation_and_diagnosispreprocedure,,yesno,"Is the quality of the CTP good enough to interpret?",,,,,,,"[ctp] = '1'",,,,,,
core_to_penumbra,initial_presentation_and_diagnosispreprocedure,,text,"Core to Penumbra Ratio",,,,,,,"[ctp] = '1'",,,,,,
core_volume,initial_presentation_and_diagnosispreprocedure,,text,"Core Volume",,ml,,,,,"[ctp] = '1'",,,,,,
tmax_6,initial_presentation_and_diagnosispreprocedure,,text,"Tmax more than 6 seconds",,,,,,,"[ctp] = '1'",,,,,,
tmax_10,initial_presentation_and_diagnosispreprocedure,,text,"Tmax more than 10 seconds",,,,,,,"[ctp] = '1'",,,,,,
hir,initial_presentation_and_diagnosispreprocedure,,calc,"Hypoperfusion Intensity Ratio",[tmax_10]/[tmax_6],,,,,,"[ctp] = '1'",,,,,,
aortic_arch_variation,initial_presentation_and_diagnosispreprocedure,,checkbox,"Aortic Arch Variations","1, Type 1 | 2, Type 2 | 3, Type 2 | 4, Bovine arch | 7, Common origin of left and right CCA | 5, Variant origin of vertebral arteries | 6, Aberrant right subclavian artery",,,,,,,,,,,,
cta_finding,initial_presentation_and_diagnosispreprocedure,,checkbox,"CTA Finding","1, Occlusion | 2, Stenosis | 3, Aneurysm | 4, Dissection | 5, AVM | 6, dAVF | 8, Stenosis Vs Occclusion | 9, Vessel Injury | 10, Thrombus | 11, Normal | 7, Other",,,,,,,,,,,,
othercta,initial_presentation_and_diagnosispreprocedure,,text,"Other CTA Finding:",,,,,,,"[cta_finding(7)] = '1'",,,,,,
laterality,initial_presentation_and_diagnosispreprocedure,,checkbox,"Laterality of findings","1, Left | 2, Right | 4, Bilateral | 3, N/A",,,,,,,,,,,,
location,initial_presentation_and_diagnosispreprocedure,,checkbox,"Location of pathology","1, CCA | 2, ECA | 3, ICA | 4, M1 | 5, M2 | 6, M3 | 7, A1 | 8, A2 | 9, Vertebral | 10, Basilar | 11, P1 | 12, P2 | 13, Acomm | 14, Pcomm",,,,,,,,,,,,
radial_diameter,initial_presentation_and_diagnosispreprocedure,,text,"Radial Artery Diameter",,"in mm",number,,,,,,,,,,
measured_on,initial_presentation_and_diagnosispreprocedure,,radio,"Measured on","1, Ultrasound | 2, Angio run/roadmap after access",,,,,,,,,,,,
cth_done_prior,preprocedural_imaging,,yesno,"CTH done prior",,,,,,,,,,,,,
cta_head_done_prior,preprocedural_imaging,,yesno,"CTA Head done prior",,,,,,,,,,,,,
cta_neck_done_prior,preprocedural_imaging,,yesno,"CTA Neck done prior",,,,,,,,,,,,,
ct_perfusion_done_prior,preprocedural_imaging,,yesno,"CT Perfusion done prior",,,,,,,,,,,,,
previous_angio,preprocedural_imaging,,yesno,"Was there a previous angiography which aided in navigating the arch and anatomy?",,,,,,,,,,,,,
first_access,proceduretreatment,,radio,"First Access Site","1, Right Radial Artery | 2, Left Radial Artery | 3, Right Femoral Artery | 4, Left Femoral Artery | 5, Right Distal Radial Artery | 6, Ulnar Artery | 7, Distal Ulnar Artery | 8, Femoral Vein | 9, Carotid Artery",,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",y,,,,,
conversion1,proceduretreatment,,yesno,"Was there conversion to a second access site",,,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",y,,,,,
reason_for_conversion,proceduretreatment,,checkbox,Reason,"1, Thrombosis of artery | 2, Vasospasm | 3, Lusoria/aberrant subclavian | 4, Calcification of vessel | 6, Accessory Radial | 7, Brachial Stenosis/loop | 8, Unable to access L ICA | 9, Unable to access L Vert | 5, Other",,,,,,"[conversion1] = '1'",,,,,,
other_reason_for_conversion,proceduretreatment,,text,"State other reason",,,,,,,"[reason_for_conversion(5)] = '1'",,,,,,
second_access,proceduretreatment,,radio,"Second Access Site","1, Right Radial Artery | 2, Left Radial Artery | 3, Right Femoral Artery | 4, Left Femoral Artery | 5, Right Distal Radial Artery | 6, Ulnar Artery | 7, Distal Ulnar Artery | 8, Femoral Vein | 9, Carotid Artery",,,,,,"[conversion1] = '1'",,,,,,
conversion2,proceduretreatment,,yesno,"Was there conversion to a third access site",,,,,,,"[conversion1] = '1'",y,,,,,
reason_for_conversion_2,proceduretreatment,,checkbox,Reason,"1, Thrombosis of artery | 2, Vasospasm | 3, Lusoria/aberrant subclavian | 4, Calcification of vessel | 5, Other",,,,,,"[conversion2] = '1'",,,,,,
other_reason_for_conversion_2,proceduretreatment,,text,"State other reason",,,,,,,"[reason_for_conversion_2(5)] = '1'",,,,,,
third_access,proceduretreatment,,radio,"Third Access Site","1, Right Radial Artery | 2, Left Radial Artery | 3, Right Femoral Artery | 4, Left Femoral Artery | 5, Right Distal Radial Artery | 6, Ulnar Artery | 7, Distal Ulnar Artery | 8, Femoral Vein | 9, Carotid Artery",,,,,,"[conversion2] = '1'",,,,,,
revasc,proceduretreatment,,text,"Time of Revascularization",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
access_sheath,proceduretreatment,,checkbox,"Access sheath","1, 5F Short Sheath Slender | 2, 5F Short Sheath | 3, 6F Short Sheath Slender | 4, 6F Short Sheath | 8, 7F Short Sheath | 9, 7F Short slender | 10, 7F Long Slender | 5, 8F Short Sheath | 6, 8F Long Sheath | 7, 9F Short Sheath",,,,,,,,,,,,
select_catheter,proceduretreatment,,checkbox,"Select Catheter Used","1, Sim 2 | 4, Berenstein",,,,,,,,,,,,
guide_wire,proceduretreatment,,radio,"Guide Wire","1, 0.035 Glidewire | 2, 0.035 Glidewire Advantage",,,,,,,,,,,,
sim_2_formed_in,proceduretreatment,,checkbox,"Sim-2 formed in","1, Ascending aorta | 2, Descending aorta | 3, Directly into L CCA (Bovine) | 4, DIrectly into R CCA | 5, Directly into L subclavian",,,,,,"[select_catheter(1)] = '1'",,,,,,
long_guide_sheath,proceduretreatment,,checkbox,"Long Guide Sheath","1, NeuronMax 6F 088 90 cm | 2, AXS Infinity LS 6F 90 cm | 3, Ballast 6F 90 cm | 4, Cello 9F (Balloon Guide) | 5, Walrus 8F 087 (Balloon Guide) | 6, Benchmark 6F 071 | 7, Rist 6F | 13, Rist 7F 95 cm | 8, BMX 96 | 11, BMX 81 | 9, Envoy 5F | 12, Envoy 6F | 10, Cook Shuttle | 14, Basecamp",,,,,,,,,,,,
dac,proceduretreatment,,checkbox,"Distal Access Catheter","1, React .071 | 2, React .068 | 3, Sophia 6Fr | 4, Sofia 5Fr",,,,,,,,,,,,
aspiration_catheter,proceduretreatment,,checkbox,"Aspiration Catheter","1, AXS Vecta | 2, RED 062 | 3, RED 068 | 4, RED 072",,,,,,,,,,,,
intermediate_catheter,proceduretreatment,,checkbox,"Intermediate Catheter","1, Phenom Plus",,,,,,,,,,,,
microcatheter,proceduretreatment,,checkbox,"Microcatheter Used","1, Marksman .027 | 2, Phenom .027 | 3, Headway Duo | 4, Velocity | 5, Magic | 6, XT-27 | 7, Trevo Trak | 8, SL-10",,,,,,,,,,,,
microwire,proceduretreatment,,checkbox,"Microwire used","1, Syncro 2 Soft | 2, Syncro 2 Standard | 7, Syncro 10 | 3, Fathom 16 | 4, Aristotle 14 | 5, Aristotle 18 | 6, Aristotle 24 | 8, Balt .008",,,,,,,,,,,,
stent_retriever_used,proceduretreatment,,checkbox,"Stent retriever used","1, Soltaire 2 (4x40) | 2, Trevo (4x41) | 3, Embotrap | 4, Tigertriever | 5, Trevo (3 x 32)",,,,,,"[procedure_type(2)] = '1'",,,,,,
thrombectomy_technique,proceduretreatment,,checkbox,"Thrombectomy technique","1, Solumbra | 2, Just suction | 3, Just stent retriever | 4, IA TPA | 5, IA TNK | 6, No Thrombectomy",,,,,,"[procedure_type(2)] = '1'",,,,,,
closure_device,proceduretreatment,,checkbox,"Closure Device","1, Mynx | 2, Angioseal | 3, TR Band | 4, PreludeSYNC DISTAL",,,,,,,,,,,,
closure_device_failure,proceduretreatment,,yesno,"Closure device failure?",,,,,,,,,,,,,
reason,proceduretreatment,,notes,Reason,,,,,,,"[closure_device_failure] = '1'",,,,,,
puncture_time,proceduretreatment,,text,"Date and time of puncture",,,datetime_mdy,,,,,,,,,,
first_pass,proceduretreatment,,text,"First Pass",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
second_pass,proceduretreatment,,text,"Second Pass",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
third_pass,proceduretreatment,,text,"Third Pass",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
fourth_pass,proceduretreatment,,text,"Fourth Pass",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
recantime,proceduretreatment,,text,"Recanalization Time",,,datetime_mdy,,,,"[procedure_type(2)] = '1'",,,,,,
stentyesno,proceduretreatment,,yesno,"Stent Used",,,,,,,"[procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(10)] = '1'",,,,,,
stent_location,proceduretreatment,,checkbox,"Stent Location","1, Common Carotid | 2, Carotid Bifurcation | 3, Internal Carotid Extracranial | 4, Internal Carotid Intracranial | 5, MCA M1 | 6, MCA M2 | 7, ACA A1 | 8, ACA A2 | 9, PCA P1 | 10, Basilar | 11, Vertebral Artery",,,,,,"[procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(10)] = '1'",,,,,,
stent_type,proceduretreatment,,checkbox,"Stent Type","1, Pipeline | 2, Pipeline Shield | 3, Surpass Evolve | 4, Atlas | 5, Onyx Resolute | 6, Carotid WallStent | 7, Carotid Precise Stent | 12, Carotid Protege | 13, Carotid X-act",,,,,,"[procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(10)] = '1'",,,,,,
stent_size,proceduretreatment,,text,"Stent Size",,,,,,,,,,,,,
poststent,proceduretreatment,,checkbox,"Post Stenting","1, None | 2, J-Plasty | 3, Ballooning",,,,,,"[procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(10)] = '1'",,,,,,
balloon_type,proceduretreatment,,checkbox,"Balloon Type","1, Transform | 2, Scepter | 3, Scepter mini",,,,,,"[poststent(3)] = '1'",,,,,,
tici_score,proceduretreatment,,radio,"Outcome (TICI)","1, TICI 0 | 2, TICI 1 | 3, TICI 2a | 4, TICI 2b | 5, TICI 2c | 6, TICI 3",,,,,,"[procedure_type(2)] = '1'",y,,,,,
intraprocedural_medication,proceduretreatment,,checkbox,"Intraprocedural Medications","1, Heparin | 2, Eptifibatide IA | 3, Clopidogrel | 4, Aspirin | 5, Brilinta | 6, Argatroban | 7, Verapamil IA (besides radial access) | 8, Nitroglycerine (Besides radial access) | 9, Milrinone | 10, Chemotherapeutic agent | 11, Cangrelor IV | 12, Eptifibatide IV | 13, TNK IA | 14, TPA IA",,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",,,,,,
intraprocedural_heparin_do,proceduretreatment,,text,"Intraprocedural Heparin Dose (Units)",,,number,,,,,y,,,,,
heparin_per_kg,proceduretreatment,,calc,"Heparin per kg",[intraprocedural_heparin_do]/[weight_in_kg],,,,,,,,,,,,
heparin_drip,proceduretreatment,,yesno,"Heparin Drip",,,,,,,"[initial_diagnosis(1)] = '1' or [initial_diagnosis(3)] = '1' or [initial_diagnosis(11)] = '1' or [initial_diagnosis(13)] = '1' or [initial_diagnosis(14)] = '1' or [initial_diagnosis(16)] = '1' or [initial_diagnosis(18)] = '1' or [procedure_type(3)] = '1' or [procedure_type(10)] = '1'",,,,,,
heparin_dose,proceduretreatment,,radio,"Heparin Dose","1, Full Dose | 2, PTT 50-70 with no boluses",,,,,,"[heparin_drip] = '1'",,,,,,
eptifibitide_dose,proceduretreatment,,text,"Eptifibitide IA dose",,,number,,,,"[intraprocedural_medication(2)] = '1'",,,,,,
eptifibitideiv_dose,proceduretreatment,,text,"Eptifibitide IV dose",,,number,,,,"[intraprocedural_medication(12)] = '1'",,,,,,
ticagrelor_dose,proceduretreatment,,text,"Ticagrelor/Brilinta dose",,,number,,,,"[intraprocedural_medication(5)] = '1'",,,,,,
clopidogrel_dose,proceduretreatment,,text,"Clopidogrel dose",,,number,,,,"[intraprocedural_medication(3)] = '1'",,,,,,
thrombolytic_given,proceduretreatment,,yesno,"Thrombolytic Given?",,,,,,,"[initial_diagnosis(1)] = '1'",,,,,,
type_of_thrombolytic,proceduretreatment,,radio,"Type of Thrombolytic","1, TPA | 2, TNK",,,,,,"[thrombolytic_given] = '1'",,,,,,
time_of_thrombolytic_thera,proceduretreatment,,text,"Time of thrombolytic therapy given",,,datetime_mdy,,,,"[thrombolytic_given] = '1'",,,,,,
totaldosethrombolytic,proceduretreatment,,text,"Total Dose (mg)",,,number,,,,"[thrombolytic_given] = '1'",,,,,,
