"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
transverse_sinus_pressure,proceduretreatment,,text,"Transverse sinus pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
torcula_pressure,proceduretreatment,,text,"Torcula pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
r_transverse_sinus,proceduretreatment,,text,"R transverse sinus pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
l_transverse_sinus,proceduretreatment,,text,"L transverse sinus pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
r_sigmoid_sinus,proceduretreatment,,text,"R sigmoid sinus pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
l_sigmoid_sinus,proceduretreatment,,text,"L sigmoid sinus pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
r_ij_pressure,proceduretreatment,,text,"R IJ pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
l_ij_pressure_2,proceduretreatment,,text,"L IJ pressure",,"mm HG",number,,,,"[procedure_type(7)] = '1'",,,,,,
flouroscopy_time_a,proceduretreatment,,text,"Flouroscopy just A",,A,,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
flouroscopy_dose_a,proceduretreatment,,text,"Flouroscopy dose just A",,"Total A mGY",,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
flouroscopy_time_b,proceduretreatment,,text,"Flouroscopy just B",,B,,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
flouroscopy_dose_b,proceduretreatment,,text,"Flouroscopy dose just B",,"Total B mGY",,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
flouroscopy_time,proceduretreatment,,calc,"Flouroscopy Time",[flouroscopy_time_a]+[flouroscopy_time_b],"A+B Total dose",,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
flouroscopy_dose,proceduretreatment,,calc,"Flouroscopy Dose",[flouroscopy_dose_a]+[flouroscopy_dose_b],"A+B Total dose mGY",,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
vessels_catheterized,proceduretreatment,,checkbox,"Vessels Catheterized","1, R VA (From origin) | 2, R VA (Selective Cath) | 3, L VA (From origin) | 4, L VA (Selective Cath) | 5, R CCA | 6, R ICA | 7, R ECA | 8, L CCA | 9, L ICA | 10, L ECA",,,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
number_of_vessels,proceduretreatment,,text,"Number of vessels catheterized",,,number,1,6,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
primary_operators,proceduretreatment,,checkbox,"Primary Attending and Fellow","1, Khandelwal | 2, Singla | 3, Sonig | 4, Tomicz | 5, Al Mufti | 6, P. Patel | 7, T. Nisar | 8, Z. Memon | 9, J. Lee | 10, A. Biswas | 11, I. Bach | 12, A. Sahoo",,,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
secondary_operator,proceduretreatment,,checkbox,"Secondary Attending and Fellows (If applicable)","1, Khandelwal | 2, Singla | 3, Sonig | 4, Tomicz | 5, Al Mufti | 6, P. Patel | 7, T. Nisar | 8, Z. Memon | 9, J. Lee | 10, A. Biswas | 11, I. Bach | 12, A. Sahoo",,,,,,"[procedure_type(10)] = '1' or [procedure_type(8)] = '1' or [procedure_type(7)] = '1' or [procedure_type(6)] = '1' or [procedure_type(5)] = '1' or [procedure_type(4)] = '1' or [procedure_type(3)] = '1' or [procedure_type(2)] = '1' or [procedure_type(1)] = '1'",,,,,,
additional_comments,proceduretreatment,,text,"Additional comments about the procedure:",,,,,,,,,,,,,
major_complication,posttreatment,,yesno,"Major Complication",,,,,,,,,,,,,
majorcomplicationdescription,posttreatment,,text,"Describe Complication",,,,,,,"[major_complication] = '1'",,,,,,
minor_complication,posttreatment,,yesno,"Minor Complication",,,,,,,,,,,,,
describe_minor_complicatio,posttreatment,,text,"Describe Minor Complication",,,,,,,"[minor_complication] = '1'",,,,,,
intraprocedural_medication_2,posttreatment,,checkbox,"Post-procedural Medications","1, Heparin | 2, Eptifibatide | 3, Clopidogrel | 4, Aspirin | 5, Brilinta | 6, Argatroban | 7, Cangrelor",,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",,,,,,
post_procedure_dose_of_dai,posttreatment,,text,"Post procedure dose of daily ASA (mg)",,,,,,,"[intraprocedural_medication_2(5)] = '1'",,,,,,
post_procedure_dose_of_plavix,posttreatment,,text,"Post procedure dose of daily Clopidogrel (mg)",,,,,,,"[intraprocedural_medication_2(5)] = '1'",,,,,,
post_procedure_dose_of_bri,posttreatment,,text,"Post procedure dose of BID Brilinta (mg)",,,,,,,"[intraprocedural_medication_2(5)] = '1'",,,,,,
month_follow_6,posttreatment,,yesno,"Is there a 6 month follow up angio?",,,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",y,,,,,
month_follow_12,posttreatment,,yesno,"Is there a 12 month follow up angio?",,,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",y,,,,,
month_follow_24,posttreatment,,yesno,"Is there a 24 month follow up angio?",,,,,,,"[procedure_type(1)] = '1' or [procedure_type(2)] = '1' or [procedure_type(3)] = '1' or [procedure_type(4)] = '1' or [procedure_type(5)] = '1' or [procedure_type(6)] = '1' or [procedure_type(7)] = '1' or [procedure_type(8)] = '1' or [procedure_type(10)] = '1'",y,,,,,
was_an_mri_obtained_follow,posttreatment,,yesno,"Was an MRI obtained following the procedure or initial stroke treatment?",,,,,,,,,,,,,
ischemic_stroke_mri,posttreatment,,yesno,"Is there ischemic stroke on the post-procedure or post-tpa MRI or CTH?",,,,,,,,,,,,,
iatrogenic,posttreatment,,yesno,"Is it possible that the ischemic stroke found on imaging is related to the procedure done (Iatrogenic)?",,"Embolic, Bilateral, Not related to presenting ischemic stroke",,,,,"[ischemic_stroke_mri] = '1'",,,,,,
iatrogenic_stroke_symptom,posttreatment,,yesno,"Is the ischemic stroke found on imaging thought to be symptomatic?",,,,,,,"[iatrogenic] = '1'",,,,,,
is_the_angiography_conside,angiography_imaging_details,,yesno,"Is the angiography considered abnormal?",,,,,,,,,,,,,
is_the_angiography_reflect,angiography_imaging_details,,yesno,"Is the angiography reflective of the CTA read?",,,,,,,,,,,,,
what_is_the_noted_differen,angiography_imaging_details,,checkbox,"What is the noted difference?","1, Percentage of stenosis | 2, Location of stenosis | 3, Migration/different location of clot | 4, Occlusion on Angio and Stenosis on CTA | 5, Stenosis on Angio and Occlusion on CTA",,,,,,,,,,,,
what_type_of_aneurysm_is_i,angiography_imaging_details,,checkbox,"What type of aneurysm is it?","1, Saccular | 2, Fusiform | 3, Dissecting | 4, Blister | 5, Pseudoaneurysm",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_position,angiography_imaging_details,,radio,"Aneurysm position","1, Sidewall | 2, Bifurcation",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_location,angiography_imaging_details,,checkbox,"Aneurysm location","1, ICA Petro-cavernous | 2, ICA Paraophtalmic | 3, ICA Supraclinoid (Pcomm, Anterior Choroidal) | 4, ICA Terminus | 5, MCA(M1) | 6, ACA (A1) | 7, Acomm | 8, PICA | 9, Basilar trunk | 10, Basilar tip | 11, PCA(P1) | 12, SCA | 13, Vertebrobasilar junction",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_vessel_dome,angiography_imaging_details,,yesno,"Is there a vessel arising from the dome?",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_thrombus,angiography_imaging_details,,yesno,"Is there a thrombus within the aneurysm",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_dome_height,angiography_imaging_details,,text,"What is the dome height?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_dome_width,angiography_imaging_details,,text,"What is the dome width?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_neck_width,angiography_imaging_details,,text,"What is the neck width?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
dome_to_neck_ratio,angiography_imaging_details,,calc,"Dome to neck ratio",[aneurysm_dome_height]/[aneurysm_neck_width],,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_vessel_prox,angiography_imaging_details,,text,"Max vessel diameter proximal to the aneurysm",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
aneurysm_vessel_dist,angiography_imaging_details,,text,"Max vessel diameter distal to the aneurysm",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1'",,,,,,
multiple_aneurysms_treated,angiography_imaging_details,,yesno,"Multiple aneurysms treated?",,,,,,,,,,,,,
aneurysm_position_2,angiography_imaging_details,,radio,"Aneurysm position","1, Sidewall | 2, Bifurcation",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_location_2,angiography_imaging_details,,checkbox,"Aneurysm location","1, ICA Petro-cavernous | 2, ICA Paraophtalmic | 3, ICA Supraclinoid (Pcomm, Anterior Choroidal) | 4, ICA Terminus | 5, MCA(M1) | 6, ACA (A1) | 7, Acomm | 8, PICA | 9, Basilar trunk | 10, Basilar tip | 11, PCA(P1) | 12, SCA | 13, Vertebrobasilar junction",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_vessel_dome_2,angiography_imaging_details,,yesno,"Is there a vessel arising from the dome?",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_thrombus_2,angiography_imaging_details,,yesno,"Is there a thrombus within the aneurysm",,,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_dome_height_2,angiography_imaging_details,,text,"What is the dome height?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_dome_width_2,angiography_imaging_details,,text,"What is the dome width?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_neck_width_2,angiography_imaging_details,,text,"What is the neck width?",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
dome_to_neck_ratio_2,angiography_imaging_details,,calc,"Dome to neck ratio",[aneurysm_dome_height_2]/[aneurysm_neck_width_2],,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_vessel_prox_2,angiography_imaging_details,,text,"Max vessel diameter proximal to the aneurysm",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
aneurysm_vessel_dist_2,angiography_imaging_details,,text,"Max vessel diameter distal to the aneurysm",,"in mm",number,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [multiple_aneurysms_treated] = '1'",,,,,,
rr_6,angiography_imaging_details,,radio,"6 month follow up Raymond Roy","1, 1 | 2, 2 | 3, 3",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [month_follow_6] = '1'",,,,,,
rr_12,angiography_imaging_details,,radio,"12 month follow up Raymond Roy","1, 1 | 2, 2 | 3, 3",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [month_follow_12] = '1'",,,,,,
rr_24,angiography_imaging_details,,radio,"24 month follow up Raymond Roy","1, 1 | 2, 2 | 3, 3",,,,,,"[initial_diagnosis(4)] = '1' or [initial_diagnosis(5)] = '1' or [initial_diagnosis(11)] = '1' or [month_follow_24] = '1'",,,,,,
pre_mrs,scales,,radio,"Pre-admission MRS","1, 0  The patient has no residual symptoms. | 2, 1  The patient has no significant disability; able to carry out all pre-stroke activities. | 3, 2  The patient has slight disability; unable to carry out all pre-stroke activities but able to look after self without daily help. | 4, 3  The patient has moderate disability; requiring some external help but able to walk without the assistance of another individual. | 5, 4  The patient has moderately severe disability; unable to walk or attend to bodily functions without assistance of another individual. | 6, 5  The patient has severe disability; bedridden, incontinent, requires continuous care. | 7, 6  The patient has expired (during the hospital stay or after discharge from the hospital). | 8, 7  Unable to contact patient/caregiver. | 9, 8  Modified Rankin Score not performed, OR unable to determine (UTD) from the medical record documentation.",,,,,,,,,,,,
post_mrs,scales,,radio,"Discharge MRS","1, 0  The patient has no residual symptoms. | 2, 1  The patient has no significant disability; able to carry out all pre-stroke activities. | 3, 2  The patient has slight disability; unable to carry out all pre-stroke activities but able to look after self without daily help. | 4, 3  The patient has moderate disability; requiring some external help but able to walk without the assistance of another individual. | 5, 4  The patient has moderately severe disability; unable to walk or attend to bodily functions without assistance of another individual. | 6, 5  The patient has severe disability; bedridden, incontinent, requires continuous care. | 7, 6  The patient has expired (during the hospital stay or after discharge from the hospital). | 8, 7  Unable to contact patient/caregiver. | 9, 8  Modified Rankin Score not performed, OR unable to determine (UTD) from the medical record documentation.",,,,,,,,,,,,
day_mrs_2,scales,,radio,"90 Day MRS","1, 0  The patient has no residual symptoms. | 2, 1  The patient has no significant disability; able to carry out all pre-stroke activities. | 3, 2  The patient has slight disability; unable to carry out all pre-stroke activities but able to look after self without daily help. | 4, 3  The patient has moderate disability; requiring some external help but able to walk without the assistance of another individual. | 5, 4  The patient has moderately severe disability; unable to walk or attend to bodily functions without assistance of another individual. | 6, 5  The patient has severe disability; bedridden, incontinent, requires continuous care. | 7, 6  The patient has expired (during the hospital stay or after discharge from the hospital). | 8, 7  Unable to contact patient/caregiver. | 9, 8  Modified Rankin Score not performed, OR unable to determine (UTD) from the medical record documentation.",,,,,,,,,,,,
pre_nihss,scales,,text,"Pre Admission NIHSS",,,number,0,42,,,,,,,,
arrival_nihss,scales,,text,"Arrival NIHSS",,,number,0,42,,,,,,,,
post_nihss,scales,,text,"Discharge NIHSS",,,number,0,42,,,,,,,,
day_nihss_2,scales,,text,"90 day NIHSS",,,number,0,42,,,,,,,,
